Description,Model,Acc,Time reg,Time sync,Std,Acc/Time,Size,Size,Image Size,Device Name,Notes,File Name,Observer,dType,QScheme,Reduce Range,,,,,,,,,,,,,,,,,,,,,,,,,
Static Quantization - min/max observer,mobilenet_v2_quantized,91.16,14.03,13.95,2,6.53,2.35,1,64,CPU,Models may not have converged optimally,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,resnet18,98,31.26,31.25,1.34,3.14,44.79,1,64,CPU,,,,,,,89,0,0,0,0,0,319,1,0,2,0,4,1015,12,3,1,2,10,217,4,0,122,12,41,2434
Baseline,resnet34,98.4,54.13,54.08,1.3,1.82,85.29,1,64,CPU,,,,,,,89,0,0,0,0,0,315,1,0,6,0,0,1026,6,2,0,2,20,206,6,0,100,14,14,2481
Baseline,resnet50,98.32,97.4,97.36,2.1,1.01,94.39,1,64,CPU,,,,,,,89,0,0,0,0,0,316,1,1,4,0,0,1019,10,5,1,2,12,212,7,0,107,13,17,2472
Static PTQ CPU,resnet18,97.96,5.56,5.51,0.52,17.79,11.3,1,64,CPU,,resnet18_q_scr.pth,MinMax MinMax,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89,0,0,0,0,0,318,1,1,2,0,3,1016,13,2,1,2,10,218,3,0,125,14,42,2428
Static PTQ CPU,resnet34,98.3,10.57,10.54,0.76,9.32,21.51,1,64,CPU,,resnet34_q_scr.pth,MinMax MinMax,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89,0,0,0,0,0,318,1,0,3,0,0,1025,7,2,0,2,20,204,8,0,111,11,17,2470
Static PTQ CPU,resnet50,98.18,17.68,17.62,3.81,5.57,24.03,1,64,CPU,,resnet50_q_scr.pth,MinMax MinMax,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89,0,0,0,0,0,317,1,0,4,0,2,1016,10,6,1,3,13,210,7,0,121,15,12,2461
Static PTQ Fused CPU,resnet18,97.85,4.16,4.12,0.4,23.77,11.22,1,64,CPU,,resnet18_q_fused_scr.pth,MinMax MinMax,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89,0,0,0,0,0,320,1,0,1,0,4,1019,8,3,1,2,16,212,3,0,138,15,39,2417
Static PTQ Fused CPU,resnet34,98.21,7.6,7.55,0.7,13,21.36,1,64,CPU,,resnet34_q_fused_scr.pth,MinMax MinMax,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89,0,0,0,0,0,315,1,1,5,0,0,1025,7,2,1,2,19,206,6,0,110,19,19,2461
Static PTQ Fused CPU,resnet50,98.54,10.97,10.91,0.75,9.03,23.65,1,64,CPU,,resnet50_q_fused_scr.pth,MinMax MinMax,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89,0,0,0,0,0,314,1,1,6,0,0,1019,7,8,1,2,10,211,10,0,77,13,21,2498
Static PTQ Fused CPU,resnet18,97.18,4.23,4.2,0.44,23.15,11.22,1,64,CPU,,resnet18_q_fused_scr.pth,MinMax MinMax,quint8 quint8,per_tensor_affine per_tensor_affine,False False,80,2,2,5,0,0,318,2,1,1,0,14,996,9,15,0,37,7,159,31,0,165,4,7,2433
Static PTQ Fused CPU,resnet34,98.4,7.62,7.59,0.59,12.97,21.36,1,64,CPU,,resnet34_q_fused_scr.pth,MinMax MinMax,quint8 quint8,per_tensor_affine per_tensor_affine,False False,88,0,0,1,0,0,312,1,1,8,0,1,1023,7,3,0,2,23,200,9,0,85,12,18,2494
Static PTQ Fused CPU,resnet50,98.22,11.74,11.69,0.76,8.4,23.65,1,64,CPU,,resnet50_q_fused_scr.pth,MinMax MinMax,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89,0,0,0,0,0,317,2,0,3,0,1,1021,7,5,1,3,16,209,5,0,112,19,17,2461
