,Model,Acc,Time,Std,Acc/Time
11,squeezenet1_1,97.43,5.72,0.41,17.033216783216787
4,mnasnet1,97.1,5.97,0.41,16.26465661641541
9,shufflenet_v2_x0_5,97.15,6.84,0.4,14.203216374269006
6,mobilenet_v3_small,97.22,7.07,0.46,13.75106082036775
0,resnet18,98.0,8.61,0.3,11.382113821138212
7,mobilenet_v3_large,97.79,9.04,0.52,10.817477876106196
5,mobilenet_v2,98.89,10.52,0.55,9.400190114068442
1,resnet34,98.4,14.6,0.33,6.739726027397261
2,resnet50,98.32,27.59,0.33,3.5636100036245013
8,densenet121,98.61,37.44,0.78,2.6338141025641026
3,resnext50,98.56,38.65,1.07,2.5500646830530402
10,vgg16,98.42,44.37,0.83,2.2181654270903763
