Description,Model,Acc,Time reg,Time sync,Std,Acc/Time,Size,Size,Image Size,Device Name,Notes,File Name,Observer,dType,QScheme,Reduce Range,,,,,,,,,,,,,,,,,,,,,,,,,
Static PTQ Fused CPU,resnet18,96.88,4.63,4.62,0.51,20.97,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,76.0,4.0,2.0,7.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,20.0,991.0,9.0,14.0,0.0,48.0,7.0,148.0,31.0,0.0,8.0,0.0,1.0,296.0
Static PTQ Fused CPU,resnet34,98.77,8.88,8.84,2.78,11.17,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,87.0,0.0,0.0,2.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,7.0,3.0,0.0,2.0,25.0,199.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.03,40.52,40.48,20.75,2.45,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,2.0,0.0,3.0,0.0,3.0,1022.0,6.0,3.0,1.0,2.0,18.0,208.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,97.54,5.63,5.57,3.29,17.52,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,319.0,1.0,1.0,1.0,0.0,13.0,998.0,10.0,13.0,0.0,26.0,8.0,167.0,33.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.75,8.47,8.47,1.96,11.66,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,26.0,198.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,98.93,12.73,12.71,4.79,7.78,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,2.0,0.0,4.0,0.0,1.0,1022.0,6.0,5.0,1.0,2.0,22.0,204.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,99.05,5.18,5.14,3.05,19.28,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,16.0,212.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.09,8.56,8.54,2.88,11.61,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1024.0,8.0,2.0,0.0,2.0,14.0,212.0,6.0,0.0,2.0,1.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.97,12.99,12.96,3.74,7.64,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,0.0,1019.0,7.0,8.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.03,4.77,4.76,1.58,20.8,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,2.0,2.0,16.0,211.0,3.0,0.0,2.0,0.0,4.0,299.0
